fid,fname,tid,q,Lq,l,Ll,k,Lk,a,La,ktotal,Lktotal,w,Lw,t,Lt,lnvoyage_oper,lnF1tonnage,soil,woil,bone,L,voyage_oper,Ktotal,Q,A,W,rev,K,Kprime,exit,bk,bK,bW,bt,cons,omega
2,"Adams, Caleb",1841,2.7808876,2.7808876,3.3699419,3.3699419,5.9610052,5.9610052,1.3862944,1.0986123,12.268262,12.138627,14.05254,14.06289,41,40,0,,.0750000029802322,.7,0,29.07683944702148,1,212832.666557312,16.13333320617676,4,1267478.5,.2738629,388,0,1,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.024841947
3,"Adams, Calvin C.",1841,2.0412202,,2.9494319,,5.0106354,,0,,12.268262,,14.05254,,41,40,0,5.0106354,.1749999970197678,0,0,19.09510231018066,1,212832.666557312,7.699999809265137,1,1267478.5,.15388709,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.21881829
3,"Adams, Calvin C.",1842,2.0412202,2.0412202,2.9494319,2.9494319,5.0106354,5.0106354,.69314718,0,12.263239,12.268262,14.041601,14.05254,42,41,0,5.0106354,.1749999970197678,0,0,19.09510231018066,1,211766.3332748413,7.699999809265137,2,1253689.8,.12774999,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,.24664775
3,"Adams, Calvin C.",1843,.038151808,2.0412202,2.9661033,2.9494319,5.0106354,5.0106354,1.0986123,.69314718,12.279578,12.263239,14.031227,14.041601,43,42,0,5.0106354,.0166666675359011,.0166666666666667,0,19.41611289978027,1,215254.9999313354,1.038888931274414,3,1240751,.016830357,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-1.7297052
3,"Adams, Calvin C.",1844,.038151808,.038151808,2.9661033,2.9661033,5.0106354,5.0106354,1.3862944,1.0986123,12.362119,12.279578,14.021094,14.031227,44,43,0,5.0106354,.0166666675359011,.0166666666666667,0,19.41611289978027,1,233775.9999313354,1.038888931274414,4,1228242.1,.02192262,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-1.7009095
3,"Adams, Calvin C.",1845,1.052956,.038151808,2.9721448,2.9661033,5.0106354,5.0106354,1.6094379,1.3862944,12.438435,12.362119,14.010608,14.021094,45,44,0,5.0106354,.061666663736105,.0083333333333333,0,19.53376960754395,1,252315.1666030884,2.866110801696777,5,1215428.9,.059042186,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.65629059
3,"Adams, Calvin C.",1846,1.5461431,1.052956,2.9781499,2.9721448,5.0106354,5.0106354,1.7917595,1.6094379,12.381245,12.438435,14.000108,14.010608,46,45,0,5.0106354,.106666661798954,0,0,19.65142631530762,1,238290.3332901001,4.693333148956299,6,1202733.8,.10067654,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.13921981
3,"Adams, Calvin C.",1847,1.5461431,1.5461431,2.9781499,2.9781499,5.0106354,5.0106354,1.9459101,1.7917595,12.362609,12.381245,13.99081,14.000108,47,46,0,5.0106354,.106666661798954,0,0,19.65142631530762,1,233890.5832748413,4.693333148956299,7,1191604,.11075767,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-.11802024
3,"Adams, Calvin C.",1848,-.69581735,1.5461431,2.8649075,2.9781499,5.0106354,5.0106354,2.0794415,1.9459101,12.291662,12.362609,13.981936,13.99081,48,47,0,5.0106354,.0113333342596889,0,0,17.54743003845215,1,217871.8332824707,.4986667037010193,8,1181074.4,.012682741,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-2.3426738
3,"Adams, Calvin C.",1849,-.69581735,-.69581735,2.8649075,2.8649075,5.0106354,5.0106354,2.1972246,2.0794415,12.200253,12.291662,13.973796,13.981936,49,48,0,5.0106354,.0113333342596889,0,0,17.54743003845215,1,198839.4166183472,.4986667037010193,9,1171500.5,.014316721,150,150,0,1.0346789,-.04479159,3.6679804,.012068283,-54.851723,-2.3289804
