year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch,pop_baleen,pop_sperm
1814,1.033333301544189,0.0,0.0,1036.5,45.466667,0.0,0.0,0.0,45.466667,363912.3231122899,1.1027838937870676e6
1815,13.24925009720027,5.703916666666667,0.0,11266.83332824707,582.96698,104.57181,0.0,104.57181,687.53882,363997.9062009621,1.1028164076427899e6
1816,19.11899996735156,11.63083333333334,0.0,17466.83332824707,841.23602,213.23195,0.0,213.23195,1054.468,363902.3228045267,1.1019293030345053e6
1817,23.89325007656589,17.63883333333333,7.0,22618.83331298828,1051.303,323.3786,15.4,323.3786,1374.6816,363623.55361381714,1.1006139947971588e6
1818,29.25329151423648,25.92154166666667,7.0,31985.08332824707,1287.1448,475.22827,15.4,475.22827,1762.373,363164.0742472968,1.0989593461054515e6
1819,36.76691667642444,33.99574999999999,9.055833333333334,39299.49998474121,1617.7444,623.25543,19.922832,623.25543,2240.9998,362457.4945643366,1.096926327858546e6
1820,47.03249994153157,30.55650000000001,19.46916666666667,51018.99998474121,2069.4299,560.20251,42.832165,560.20251,2629.6323,361517.0319148154,1.0943584783601493e6
1821,60.65320815099403,31.49783333333334,17.91066666666666,61643.66667175293,2668.7412,577.46027,39.403465,577.46027,3246.2014,360709.8618678579,1.0910565671219043e6
1822,70.11924975644797,40.41316666666667,31.20233333333333,68882.66668701172,3085.2471,740.90808,68.645134,740.90808,3826.1553,359894.9145968532,1.0867787877376347e6
1823,68.03233310719952,45.40091666666668,49.398,65170.16670227051,2993.4226,832.35016,108.6756,832.35016,3825.7727,358822.2943294407,1.0818516696228988e6
1824,60.27916666073725,44.10141666666668,89.72108333333334,57221.33334350586,2652.2834,808.526,197.38638,808.526,3460.8096,357621.846962267,1.0771532548387237e6
1825,65.99146647192538,32.85129166666667,136.0973333333333,54350.66667175293,2903.6245,602.27368,299.41412,602.27368,3505.8982,356493.8312522929,1.0731057989179972e6
1826,66.2720746556297,30.87599999999999,145.617,53456.83332824707,2915.9712,566.06,320.35739,566.06,3482.0313,355748.0491276208,1.0686862108149945e6
1827,80.53811626182869,40.10775,180.43025,65834.91668701172,3543.677,735.30878,396.94656,735.30878,4278.9858,355083.59754337044,1.064307857833727e6
1828,94.7821999443695,52.98136666666668,282.61975,82653.75002288818,4170.417,971.32507,621.76343,971.32507,5141.7422,354146.9347546673,1.0589172625408105e6
