year,sperm,oil,bone,tonnage,sperm_caught,baleen_caught_oil,baleen_caught_bone,baleen_caught,whale_catch
1791,.6666666753590107,1.29,5,1932,29.333334,23.65,11,23.65,52.983334
1792,.9350000154227018,7.961666666666667,.03,5732.5,41.139999,145.96388,.066,145.96388,187.10388
1793,.940000019967556,10.28166666666667,.03,6939.5,41.360001,188.49722,.066,188.49722,229.85722
1794,1.317333333194256,4.971666666666667,.03,5548,57.962666,91.147224,.066,91.147224,149.10989
1795,1.162000006064773,4.543333333333333,0,5245,51.128002,83.294441,0,83.294441,134.42244
1796,1.154666677117348,4.788333333333333,0,4085,50.805332,87.78611,0,87.78611,138.59145
1797,5.058000057935715,4.780166666666666,0,6990.33332824707,222.552,87.636391,0,87.636391,310.18839
1798,7.453333348035812,6.086833333333334,0,7439.33332824707,327.94666,111.59194,0,111.59194,439.5386
1799,7.911666691303253,3.620166666666667,0,6057.33332824707,348.11334,66.36972,0,66.36972,414.48306
1800,4.393333256244659,3.995666666666667,0,5011.33332824707,193.30666,73.253891,0,73.253891,266.56055
1801,2.804999962449074,5.516833333333333,0,5761.166656494141,123.42,101.14194,0,101.14194,224.56195
1802,2.496666640043259,7.794666666666666,0,9308.83332824707,109.85333,142.90222,0,142.90222,252.75555
1803,3.347416649572551,6.283416666666668,0,10331.33332824707,147.28633,115.19597,0,115.19597,262.4823
1804,3.986083279363811,5.969083333333334,0,10662,175.38766,109.4332,0,109.4332,284.82086
1805,1.812666604295373,7.864166666666667,0,8123.33332824707,79.757332,144.17639,0,144.17639,223.93372
1806,1.849333319813013,11.33083333333333,0,11406.16665649414,81.370667,207.73195,0,207.73195,289.1026
1807,3.785000026226044,7.008333333333333,.55,9085.666656494141,166.54001,128.48611,1.21,128.48611,295.02612
1808,5.623333364725113,7.622666666666667,.55,10628.66665649414,247.42667,139.74889,1.21,139.74889,387.17554
1809,9.786666668951511,7.674333333333333,0,11662.66665649414,430.61334,140.69611,0,140.69611,571.30945
1810,11.92399998754263,5.36,0,11874.49998474121,524.65601,98.26667,0,98.26667,622.92267
1811,13.32899989932775,1.566666666666667,0,10375.66665649414,586.47601,28.722221,0,28.722221,615.19824
1812,10.40233323723078,1.482833333333333,0,8335.33332824707,457.70267,27.185278,0,27.185278,484.88794
1813,4.501666627824306,.4994999999999999,0,4764,198.07333,9.1575003,0,9.1575003,207.23083
1814,1.033333301544189,0,0,749.5,45.466667,0,0,0,45.466667
1815,13.24925009720027,5.703916666666667,0,9948.83332824707,582.96698,104.57181,0,104.57181,687.53882
1816,19.11899996735156,11.63083333333334,0,16186.83332824707,841.23602,213.23195,0,213.23195,1054.468
